Type_of_Answer;Question_Level;Topic;Subtopic
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
0;Advanced;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
1;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
0;Basic;Linear Algebra;Vector Spaces
